you know youre in love when you cant fall asleep because reality is finally better than your dreams,mci ybck mcifs wb zcjs kvsb mci qobh tozz ogzssd psqoigs fsozwhm wg twbozzm pshhsf hvob mcif rfsoag,o
success usually comes to those who are too busy to be looking for it,cemmocc ecekvvi mywoc dy dryco gry kbo dyy leci dy lo vyyusxq pyb sd,k
love is that condition in which the happiness of another person is essential to your own,twdm qa bpib kwvlqbqwv qv epqkp bpm pixxqvmaa wn ivwbpmz xmzawv qa maamvbqit bw gwcz wev,i
you only live once but if you do it right once is enough,qgm gfdq danw gfuw tml ax qgm vg al jayzl gfuw ak wfgmyz,s
the truth is everyone is going to hurt you you just got to find the ones worth suffering for,hvs hfihv wg sjsfmcbs wg ucwbu hc vifh mci mci xigh uch hc twbr hvs cbsg kcfhv gittsfwbu tcf,o
if you dont stand for something you will fall for anything,wt mci rcbh ghobr tcf gcashvwbu mci kwzz tozz tcf obmhvwbu,o
do one thing every day that scares you,te edu jxydw uluho tqo jxqj isqhui oek,q
dont cry because its over smile because it happened,hsrx gvc figeywi mxw sziv wqmpi figeywi mx lettirih,e
today you are you that is truer than true there is no one alive who is youer than you,hcrom mci ofs mci hvoh wg hfisf hvob hfis hvsfs wg bc cbs ozwjs kvc wg mcisf hvob mci,o
what we can or cannot do what we consider possible or impossible is rarely a function of our true capability it is more likely a function of our beliefs about who we are,zkdw zh fdq ru fdqqrw gr zkdw zh frqvlghu srvvleoh ru lpsrvvleoh lv uduhob d ixqfwlrq ri rxu wuxh fdsdelolwb lw lv pruh olnhob d ixqfwlrq ri rxu eholhiv derxw zkr zh duh,d
simplicity is the key to brilliance,dtxawtntej td esp vpj ez mctwwtlynp,l
its not who you are that holds you back its who you think youre not,yji dej mxe oek qhu jxqj xebti oek rqsa yji mxe oek jxyda oekhu dej,q
there are only two ways to live your life one is as though nothing is a miracle the other is as though everything is a miracle,jxuhu qhu edbo jme mqoi je bylu oekh byvu edu yi qi jxekwx dejxydw yi q cyhqsbu jxu ejxuh yi qi jxekwx uluhojxydw yi q cyhqsbu,q
there is no end there is no beginning there is only the infinite passion of life,gurer vf ab raq gurer vf ab ortvaavat gurer vf bayl gur vasvavgr cnffvba bs yvsr,n
friendship is born at that moment when one person says to another what you too i thought i was the only one,cofbkapefm fp ylok xq qexq jljbkq tebk lkb mboplk pxvp ql xklqebo texq vlr qll f qelrdeq f txp qeb lkiv lkb,x
to live is the rarest thing in the world most people exist that is all,dy vsfo sc dro bkbocd drsxq sx dro gybvn wycd zoyzvo ohscd drkd sc kvv,k
dont cry because its over smile because it happened,sdci rgn qtrpjht xih dktg hbxat qtrpjht xi wpeetcts,p
